Index,Tranche,Attachment,Detachment,BaseCorrelation,FairSpread_bps,Upfront_pct,ExpectedLoss_pct,CS01_eur,Delta,Gamma,Leverage,PnL_-50bp_(5),PnL_-25bp_(30),PnL_+0bp_(55),PnL_+25bp_(80),PnL_+50bp_(105),PnL_+100bp_(155),PnL_+200bp_(255)
iTraxx Main S44,0-3% Equity,0%,3%,96.68%,191,4.00,9.00,13340,3.11,-3.1170,103.6,759089,350983,0,-319962,-617362,-1160672,-2096849
iTraxx Main S44,3-6% Mezzanine,3%,6%,25.00%,411,,19.10,41637,10.73,-10.6558,357.6,1720136,1014529,0,-1019162,-1954433,-3502024,-5501469
iTraxx Main S44,6-12% Senior,6%,12%,48.00%,183,,8.83,17834,4.19,-4.1716,69.9,780972,432370,0,-449068,-894130,-1741170,-3206430
iTraxx Main S44,12-100% Super Senior,12%,100%,72.00%,23,,1.15,2368,0.52,-0.5145,0.6,100890,55975,0,-61506,-126502,-262844,-546594
